UMAP1,UMAP2,Topic
5.855058,10.968406,-1
7.3389072,7.921945,2
9.424088,11.815717,0
8.079904,10.491135,0
6.3912716,10.770064,-1
6.665181,8.2178545,2
9.091774,12.009316,0
6.7002525,8.847125,1
8.359764,10.570152,0
7.1740384,9.629702,1
9.570064,11.074261,0
7.4402237,9.225762,1
7.3530707,10.019219,1
7.359226,10.9078,-1
6.8611093,9.247324,1
6.840011,9.146242,1
9.560145,11.725126,0
8.813332,12.236471,0
6.290611,10.281561,-1
6.2049947,10.208093,-1
6.740963,9.265728,1
7.203877,7.740989,2
6.686729,8.158168,2
7.2937903,9.867437,1
8.036319,12.204937,-1
7.235821,9.236194,1
6.6596165,9.385585,-1
7.6891155,9.622503,1
6.572472,9.048036,1
8.344724,11.803048,0
8.684686,9.308791,-1
8.147985,10.42473,0
5.917083,10.661253,-1
6.0396934,10.321755,-1
5.8378234,10.908029,-1
8.888014,10.16619,0
7.1935573,10.786696,-1
8.143966,9.438083,0
6.846926,8.035326,2
8.24681,11.718993,0
5.7061424,10.7494955,-1
8.672726,11.7793665,0
7.1435065,9.842589,1
8.471377,10.668649,0
7.0450497,9.703138,1
9.8303175,11.200087,-1
6.9923387,8.903221,1
7.6238604,10.332462,-1
7.2553477,7.7305026,2
7.0035834,10.272009,-1
9.038334,11.415619,0
6.747449,7.969016,2
7.6142926,9.932024,-1
5.95067,10.306978,-1
8.365718,11.256557,-1
8.716964,10.300098,0
8.14553,10.902153,-1
6.8692575,11.088771,-1
7.722713,7.954455,2
9.165567,12.023388,0
7.7132354,7.77366,2
9.951007,10.537288,0
6.954908,11.056484,-1
9.08644,10.867207,-1
8.413276,12.356527,0
8.4401,12.421614,0
8.681952,11.562315,0
8.132771,11.954395,0
8.498774,11.271499,-1
8.660656,12.27888,0
9.945995,11.776427,0
7.248591,7.893018,2
6.1000032,10.358047,-1
5.9469943,10.974477,-1
8.567676,11.272092,-1
7.209703,10.48935,-1
5.668807,11.061567,-1
9.81306,11.856327,0
7.1151943,8.449555,-1
8.303259,10.705042,0
10.182422,10.754413,0
9.280744,12.035278,0
6.475914,7.9742985,2
9.668688,10.701351,0
9.048564,9.80014,0
7.97235,11.511942,0
8.314021,8.917106,-1
7.242542,9.4043045,1
9.195903,11.690374,0
6.101035,10.498376,-1
7.4304533,8.046986,2
8.528777,10.967199,0
7.2599254,9.397684,1
10.3482,10.076254,-1
10.288724,11.624093,0
7.240838,8.840746,-1
8.927539,11.486973,-1
6.427202,8.050225,2
7.6010537,10.73874,-1
6.0999627,11.119773,-1
9.002662,11.781838,0
8.597257,10.831698,0
8.440655,12.130998,0
9.666657,12.126384,0
9.632079,10.824613,0
7.846014,9.615899,1
7.0874004,11.625803,-1
9.745599,11.711852,0
6.628442,8.118765,2
7.7663646,11.79234,0
6.8767996,8.670046,-1
7.800605,7.7906857,2
7.4196815,9.778655,1
8.125736,11.62586,0
8.122728,10.667162,0
8.075343,9.37682,0
10.309995,10.615052,0
8.464791,12.183109,0
9.815662,10.8339615,0
7.760556,7.8340783,2
7.7671156,7.8863106,2
8.445212,11.807519,0
9.548169,9.658392,0
10.23418,10.181597,0
9.019856,9.935287,0
6.3748593,8.062433,2
7.4341054,11.669166,0
7.6169376,11.920386,0
9.329967,10.148672,0
7.6804476,11.941174,0
9.168791,9.738351,0
8.491312,9.026179,-1
9.199519,9.3177395,-1
7.4203534,11.058913,-1
8.750837,12.316932,0
6.8301716,11.5503645,0
7.7624335,11.0518,-1
9.185059,10.623412,0
7.4113197,8.784452,-1
9.663743,12.30418,0
9.559985,12.001267,0
6.6817636,11.656615,-1
10.221471,10.062203,0
9.254167,11.195426,0
8.539694,9.663267,0
10.302171,11.386648,0
9.943795,10.010842,0
7.493045,11.292358,0
9.069249,9.253596,-1
7.8056426,8.690496,-1
8.692603,10.054877,0
7.3922873,9.9191065,1
6.877476,11.198309,-1
8.796693,12.29975,0
8.424106,9.685584,0
8.0178175,11.561364,0
9.866969,10.284151,0
7.4132876,8.515336,2
10.314714,10.086129,-1
7.8788147,8.572079,0
10.141289,11.043557,0
8.872021,9.387572,0
9.196296,10.841536,0
9.647482,12.37832,0
9.629802,9.754975,0
7.632799,8.905161,1
7.8977804,8.879682,-1
7.067756,11.889801,0
7.0408545,11.807813,0
9.215902,9.935326,0
7.007142,12.218862,-1
10.190072,10.825257,-1
9.465795,12.294239,0
10.343651,10.754363,0
9.647067,10.094614,0
6.94614,11.933105,0
9.42862,10.033094,0
9.145975,9.630232,0
8.213157,9.542997,0
8.552039,10.142668,-1
10.196261,10.640938,0
9.720095,9.807584,0
6.973634,12.094426,0
10.309117,11.350823,-1
8.877515,11.256841,-1
9.193334,10.532151,0
9.487096,11.322697,-1
9.084457,10.798289,0
6.7585344,12.147747,0
