Extracted_Country,Year,Count
Australia,1993,1
Australia,2005,1
Brazil,2014,1
Bulgaria,1990,1
Chile,1994,1
China,2018,1
China,2021,1
China,2023,1
China,2024,1
China,2025,1
Denmark,1990,1
France,1978,1
France,2024,1
Germany,2000,1
Germany,2019,1
India,2022,1
Iran,2015,1
Israel,2023,1
Japan,2001,1
Japan,2003,1
Japan,2009,2
Mexico,1995,1
Nepal,2009,1
Norway,1990,1
Poland,1982,1
Romania,2022,1
Thailand,1989,1
Thailand,2022,1
United States,1992,1
United States,2001,1
United States,2016,1
United States,2021,1
