Year,Total_Publications,Rolling_Mean_3yr
1975,2,
1976,1,1.6666666666666667
1978,2,1.3333333333333333
1979,1,1.6666666666666667
1980,2,1.3333333333333333
1982,1,1.6666666666666667
1983,2,1.3333333333333333
1984,1,1.3333333333333333
1985,1,1.3333333333333333
1987,2,1.3333333333333333
1988,1,1.3333333333333333
1989,1,2.6666666666666665
1990,6,3.3333333333333335
1991,3,3.6666666666666665
1992,2,2.3333333333333335
1993,2,2.6666666666666665
1994,4,2.6666666666666665
1995,2,2.6666666666666665
1996,2,2.0
1997,2,2.0
1998,2,3.0
2000,5,4.0
2001,5,4.666666666666667
2002,4,4.666666666666667
2003,5,3.6666666666666665
2004,2,3.3333333333333335
2005,3,3.0
2006,4,2.6666666666666665
2007,1,2.0
2008,1,2.6666666666666665
2009,6,3.3333333333333335
2010,3,3.6666666666666665
2011,2,2.0
2012,1,1.3333333333333333
2013,1,3.0
2014,7,4.0
2015,4,4.666666666666667
2016,3,2.6666666666666665
2017,1,2.6666666666666665
2018,4,2.6666666666666665
2019,3,3.0
2020,2,3.0
2021,4,4.333333333333333
2022,7,5.0
2023,4,5.666666666666667
2024,6,4.333333333333333
2025,3,
