Year,Topic,Count
1975,0,2
1976,0,1
1978,0,2
1979,0,1
1980,0,2
1982,0,1
1983,0,2
1984,0,1
1985,0,1
1987,0,2
1988,0,1
1989,1,1
1990,0,6
1991,0,2
1991,2,1
1992,0,2
1993,0,1
1993,1,1
1994,0,4
1995,0,2
1996,0,2
1997,0,2
1998,0,2
2000,0,4
2000,2,1
2001,0,5
2002,0,2
2002,2,2
2003,0,3
2003,1,1
2003,2,1
2004,0,1
2004,2,1
2005,0,2
2005,1,1
2006,0,4
2007,2,1
2008,0,1
2009,0,2
2009,1,2
2009,2,2
2010,0,3
2011,0,2
2012,0,1
2013,0,1
2014,0,6
2014,2,1
2015,0,2
2015,2,2
2016,0,2
2016,2,1
2017,2,1
2018,0,1
2018,1,3
2019,0,3
2020,0,2
2021,0,1
2021,1,3
2022,0,1
2022,1,3
2022,2,3
2023,0,2
2023,1,2
2024,0,2
2024,1,3
2024,2,1
2025,0,2
2025,2,1
